> Measurement made Wed Nov 13 17:39:39 2024
> Main magnet sweep  6.50000 to  9.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.50000 T 
> ITC set at    0.000 K, T1: 288.600 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   2 mV, Mod Freq 41680.000000 Hz, Phase -175.420000 degr, Ampl. 0.200000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 41680.600000 Hz, Phase -174.970000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 32.150600 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 34 dB
> Source attn 10 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 8 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
RT YMnSn  large thin crystal
Orientation 90 deg from perp plane (850)
seems correct oprientation now
-
-

>BEGIN
      6.5000096      0.00286104     0.000476841      0.00417235      0.00309946 
      6.5000436      0.00250341      0.00011921      0.00417235      0.00262262 
      6.5000927      0.00262262     -0.00023842      0.00405314      0.00262262 
      6.5001602      0.00309946               0      0.00405314      0.00274183 
      6.5002442      0.00298025    -0.000476841      0.00393394      0.00274183 
      6.5003458      0.00298025    -0.000715259      0.00381473      0.00286104 
      6.5004626      0.00298025      0.00011921      0.00357629      0.00286104 
      6.5006158      0.00309946      0.00107289      0.00441077      0.00286104 
      6.5007889      0.00321867     0.000834469      0.00536445      0.00333787 
      6.5009556      0.00309946      0.00035763      0.00524524      0.00286104 
      6.5011921      0.00262262     -0.00035763      0.00488761      0.00250341 
      6.5013906      0.00250341     -0.00107289      0.00512603      0.00309946 
      6.5016346      0.00309946     -0.00035763      0.00524524      0.00309946 
      6.5018633      0.00298025      0.00059605       0.0047684      0.00298025 
      6.5021726      0.00286104     0.000834469      0.00488761      0.00298025 
      6.5024295      0.00226499     0.000715259      0.00560287      0.00286104 
      6.5027358      0.00202657      0.00011921      0.00596049      0.00309946 
      6.5030569       0.0023842      0.00023842      0.00548366      0.00345708 
      6.5033485      0.00250341     0.000715259      0.00524524      0.00417235 
       6.503696      0.00298025      0.00059605      0.00548366      0.00345708 
      6.5040568      0.00286104      0.00023842      0.00548366      0.00298025 
